customer_id,customer_name,total_spent,average_customer_spending,amount_above_average
526,"KARL SEAL",221.55,112.531820,109.018180
148,"ELEANOR HUNT",216.54,112.531820,104.008180
144,"CLARA SHAW",195.58,112.531820,83.048180
137,"RHONDA KENNEDY",194.61,112.531820,82.078180
178,"MARION SNYDER",194.61,112.531820,82.078180
459,"TOMMY COLLAZO",186.62,112.531820,74.088180
469,"WESLEY BULL",177.60,112.531820,65.068180
468,"TIM CARY",175.61,112.531820,63.078180
236,"MARCIA DEAN",175.58,112.531820,63.048180
181,"ANA BRADLEY",174.66,112.531820,62.128180
176,"JUNE CARROLL",173.63,112.531820,61.098180
50,"DIANE COLLINS",169.65,112.531820,57.118180
259,"LENA JENSEN",168.68,112.531820,56.148180
522,"ARNOLD HAVENS",167.67,112.531820,55.138180
410,"CURTIS IRBY",167.62,112.531820,55.088180
403,"MIKE WAY",166.65,112.531820,54.118180
295,"DAISY BATES",162.62,112.531820,50.088180
209,"TONYA CHAPMAN",161.68,112.531820,49.148180
373,"LOUIS LEONE",161.65,112.531820,49.118180
470,"GORDON ALLARD",160.68,112.531820,48.148180
187,"BRITTANY RILEY",159.72,112.531820,47.188180
550,"GUY BROWNLEE",159.68,112.531820,47.148180
462,"WARREN SHERROD",159.67,112.531820,47.138180
267,"MARGIE WADE",159.64,112.531820,47.108180
293,"MAE FLETCHER",158.69,112.531820,46.158180
372,"STEVE MACKENZIE",158.66,112.531820,46.128180
273,"PRISCILLA LOWE",157.65,112.531820,45.118180
368,"HARRY ARCE",157.65,112.531820,45.118180
346,"ARTHUR SIMPKINS",155.68,112.531820,43.148180
21,"MICHELLE CLARK",155.65,112.531820,43.118180
75,"TAMMY SANDERS",155.59,112.531820,43.058180
197,"SUE PETERS",154.60,112.531820,42.068180
119,"SHERRY MARSHALL",153.66,112.531820,41.128180
532,"NEIL RENNER",152.68,112.531820,40.148180
390,"SHAWN HEATON",152.67,112.531820,40.138180
26,"JESSICA HALL",152.66,112.531820,40.128180
274,"NAOMI JENNINGS",152.65,112.531820,40.118180
506,"LESLIE SEWARD",152.65,112.531820,40.118180
