customer_id,customer_name,total_spent
526,"KARL SEAL",221.55
148,"ELEANOR HUNT",216.54
144,"CLARA SHAW",195.58
178,"MARION SNYDER",194.61
137,"RHONDA KENNEDY",194.61
459,"TOMMY COLLAZO",186.62
469,"WESLEY BULL",177.60
468,"TIM CARY",175.61
236,"MARCIA DEAN",175.58
181,"ANA BRADLEY",174.66
176,"JUNE CARROLL",173.63
50,"DIANE COLLINS",169.65
259,"LENA JENSEN",168.68
522,"ARNOLD HAVENS",167.67
410,"CURTIS IRBY",167.62
403,"MIKE WAY",166.65
295,"DAISY BATES",162.62
209,"TONYA CHAPMAN",161.68
373,"LOUIS LEONE",161.65
470,"GORDON ALLARD",160.68
187,"BRITTANY RILEY",159.72
550,"GUY BROWNLEE",159.68
462,"WARREN SHERROD",159.67
267,"MARGIE WADE",159.64
293,"MAE FLETCHER",158.69
372,"STEVE MACKENZIE",158.66
273,"PRISCILLA LOWE",157.65
368,"HARRY ARCE",157.65
346,"ARTHUR SIMPKINS",155.68
21,"MICHELLE CLARK",155.65
75,"TAMMY SANDERS",155.59
197,"SUE PETERS",154.60
119,"SHERRY MARSHALL",153.66
532,"NEIL RENNER",152.68
390,"SHAWN HEATON",152.67
26,"JESSICA HALL",152.66
274,"NAOMI JENNINGS",152.65
506,"LESLIE SEWARD",152.65
366,"BRANDON HUEY",152.63
7,"MARIA MILLER",151.67
454,"ALEX GRESHAM",151.67
211,"STACEY MONTGOMERY",151.66
196,"ALMA AUSTIN",151.65
439,"ALEXANDER FENNELL",151.64
257,"MARSHA DOUGLAS",151.63
360,"RALPH MADRIGAL",150.66
