customer_id,customer_name,city,total_spent,rental_count,city_spending_rank,percentage_of_city_total,avg_spend_per_rental
184,"VIVIAN RUIZ",´s-Hertogenbosch,90.77,23,1,100.00,3.95
52,"JULIE SANCHEZ","A Coruña (La Coruña)",107.71,29,1,100.00,3.71
101,"PEGGY MYERS",Abha,96.76,24,1,100.00,4.03
452,"TOM MILNER","Abu Dhabi",107.68,32,1,100.00,3.37
486,"GLEN TALBERT",Acuña,113.74,26,1,100.00,4.37
327,"LARRY THRASHER",Adana,112.74,26,1,100.00,4.34
392,"SEAN DOUGLASS","Addis Abeba",91.77,23,1,100.00,3.99
210,"ELLA OLIVER",Aden,137.69,31,1,100.00,4.44
367,"ADAM GOOCH",Adoni,101.78,22,1,100.00,4.63
130,"CHARLOTTE HUNTER","Águas Lindas de Goiás",93.76,24,1,100.00,3.91
297,"SHERRI RHODES",Ahmadnagar,128.67,33,1,100.00,3.90
574,"JULIAN VEST",Akishima,109.72,28,1,100.00,3.92
479,"ZACHARY HITE",Akron,146.69,31,1,100.00,4.73
98,"LILLIAN GRIFFIN",al-Ayn,106.75,25,1,100.00,4.27
70,"CHRISTINA RAMIREZ",al-Hawiya,80.82,18,1,100.00,4.49
590,"SETH HANNON",al-Manama,112.75,25,1,100.00,4.51
395,"JOHNNY TURPIN",al-Qadarif,57.81,19,1,100.00,3.04
417,"TRAVIS ESTEP",al-Qatif,110.75,25,1,100.00,4.43
33,"ANNA HILL",Alessandria,91.79,21,1,100.00,4.37
175,"ANNETTE OLSON","Allappuzha (Alleppey)",98.76,24,1,100.00,4.12
414,"VINCENT RALSTON",Allende,105.75,25,1,100.00,4.23
359,"WILLIE MARKHAM","Almirante Brown",101.75,25,1,100.00,4.07
551,"CLAYTON BARBEE",Alvorada,96.74,26,1,100.00,3.72
225,"ARLENE HARVEY",Ambattur,120.74,26,1,100.00,4.64
415,"GLENN PULLEN",Amersfoort,93.77,23,1,100.00,4.08
534,"CHRISTIAN JUNG",Amroha,88.76,24,1,100.00,3.70
229,"TAMARA NGUYEN",Anápolis,93.75,25,1,100.00,3.75
307,"JOSEPH JOY","Angra dos Reis",134.70,30,1,100.00,4.49
45,"JANET PHILLIPS",Antofagasta,127.73,27,1,100.00,4.73
216,"NATALIE MEYER","Aparecida de Goiânia",95.77,23,1,100.00,4.16
137,"RHONDA KENNEDY",Apeldoorn,194.61,39,1,100.00,4.99
77,"JANE BENNETT",Araçatuba,100.72,28,1,100.00,3.60
36,"KATHLEEN ADAMS",Arak,92.73,27,1,100.00,3.43
360,"RALPH MADRIGAL",Arecibo,150.66,34,1,100.00,4.43
305,"RICHARD MCCRARY",Arlington,109.75,25,1,100.00,4.39
102,"CRYSTAL FORD",Ashdod,137.67,33,1,100.00,4.17
200,"JEANNE LAWSON",Ashgabat,136.73,27,1,100.00,5.06
478,"LEWIS LYMAN",Ashqelon,86.81,19,1,100.00,4.57
226,"MAUREEN LITTLE",Asunción,87.79,21,1,100.00,4.18
3,"LINDA WILLIAMS",Athenai,135.74,26,1,100.00,5.22
